Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:04:59,2019-07-19 13:04:59,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:04:59,2019-07-19 13:05:00,0.446s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/a_80 C0""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:00,2019-07-19 13:05:00,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:00,2019-07-19 13:05:00,0.456s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""80"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:00,2019-07-19 13:05:01,0.225s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:01,2019-07-19 13:05:01,0.004s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:01,2019-07-19 13:05:01,0.357s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/a_80 C1""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:01,2019-07-19 13:05:01,0.025s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:01,2019-07-19 13:05:01,0.404s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""30"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:01,2019-07-19 13:05:02,0.346s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/button_checkSetNum""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:02,2019-07-19 13:05:02,0.002s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:02,2019-07-19 13:05:02,0.465s,PASSED
"smartWaitClickableAndClick(findTestObject(""Object Repository/ARMORDashboard/a_80 C1""), 20)",Chrome 75.0.3770.142,,,2019-07-19 13:05:02,2019-07-19 13:05:02,0.003s,PASSED
"for ([j = 0, j <= waitTime, (j++)])",Chrome 75.0.3770.142,,,2019-07-19 13:05:02,2019-07-19 13:05:03,0.394s,PASSED
"setText(findTestObject(""Object Repository/ARMORDashboard/input_setNum""), ""80"")",Chrome 75.0.3770.142,,,2019-07-19 13:05:03,2019-07-19 13:05:03,0.175s,PASSED
